Timestamp,Fill ID,Order ID,Side,Price,Size,Fees,Total Value
2025-12-26 02:44:20 PM,98ee71a1-d8df-57d3-9...,7d0ea258-2682-46dc-8...,bid,$0.740,5,$0.00,$3.70
2025-12-26 02:43:05 PM,157327fe-e780-6be1-8...,585a75c2-3bb9-4ec7-b...,ask,$0.730,5,$0.00,$3.65
2025-12-26 02:14:30 PM,ae6c93c2-4a6e-460d-1...,baf7eb06-e084-4053-a...,bid,$0.740,5,$0.00,$3.70
2025-12-26 02:07:24 PM,b95189c3-1e42-58e4-4...,3869e658-9f63-4d4e-a...,ask,$0.740,5,$0.00,$3.70
2025-12-26 01:49:29 PM,7a80cd22-94c1-522b-f...,6096855b-62fb-4757-9...,bid,$0.690,1,$0.00,$0.69
2025-12-26 01:46:01 PM,ae19fad9-acc5-4b43-9...,619e2cfb-a3fc-41b1-9...,bid,$0.680,4,$0.00,$2.72
2025-12-26 01:44:40 PM,bed77cab-385e-4985-4...,b87d1c38-8077-479b-9...,ask,$0.680,5,$0.00,$3.40
2025-12-26 01:18:14 PM,a0f32fdb-dd2e-744d-3...,d9bf69ea-e678-4d9f-a...,bid,$0.630,4,$0.00,$2.52
2025-12-26 01:13:02 PM,9b7f5a23-c2b6-64f6-3...,35c6ff53-3333-43e8-b...,bid,$0.610,1,$0.00,$0.61
2025-12-26 01:11:28 PM,35aa18df-e7ea-5628-b...,f1d4aabf-49f7-434a-a...,ask,$0.620,5,$0.00,$3.10
