timestamp,ticker,taker_side,yes_price,count,trade_id
2026-01-01 14:27:32,KXALBUMRELEASEDATEASAP-26JAN17,no,84,11,59c58af1-2b27-4eff-5250-342ff3fa61cd
2026-01-01 14:15:54,KXALBUMRELEASEDATEASAP-26JAN17,no,84,5,0e734d35-ef6b-48db-e84c-62c5deac8281
2026-01-01 13:49:50,KXALBUMRELEASEDATEASAP-26JAN17,yes,93,13,c2e7166a-61fc-6dcc-50b2-371f94224780
2026-01-01 13:49:07,KXALBUMRELEASEDATEASAP-26JAN17,yes,90,307,2b657e01-5d95-42bb-b8d3-d488cc889009
2026-01-01T13:38:42.36145Z,KXALBUMRELEASEDATEASAP-26JAN17,no,84,258,be8834e1-3f3c-5f78-96f4-902c44b5bd3c
2026-01-01T13:38:42.36145Z,KXALBUMRELEASEDATEASAP-26JAN17,no,85,12,ab590166-5c5b-51f2-aad8-2ec0bc3c53f5
2026-01-01T13:38:42.36145Z,KXALBUMRELEASEDATEASAP-26JAN17,no,89,37,3eabbeb6-78ed-5da0-a763-62c0ef9f3522
2026-01-01 13:08:20,KXALBUMRELEASEDATEASAP-26JAN17,yes,91,12,e5319144-7013-52d2-231c-7c42c7e9f31f
2026-01-01 10:24:06,KXALBUMRELEASEDATEASAP-26JAN17,no,89,8,6be94969-aa9d-4380-4144-6c680a825cce
2026-01-01 06:52:26,KXALBUMRELEASEDATEASAP-26JAN17,yes,91,10,91f9dc72-eae2-718f-b240-93ac627d88b1
2026-01-01 06:52:26,KXALBUMRELEASEDATEASAP-26JAN17,yes,92,7,6252a197-afd8-723b-9664-972fb11bd1a5
2026-01-01 06:52:26,KXALBUMRELEASEDATEASAP-26JAN17,yes,91,7,4e36ffb5-f61a-7ec3-9456-9bcf62afb286
2026-01-01 06:52:26,KXALBUMRELEASEDATEASAP-26JAN17,yes,91,1,0391740d-6290-7995-83dd-88daaf0b3aba
2026-01-01 06:13:14,KXALBUMRELEASEDATEASAP-26JAN17,no,89,5,694b32e9-2f99-56dc-c523-9a298ef791e2
2026-01-01 06:13:14,KXALBUMRELEASEDATEASAP-26JAN17,no,90,3,310bfd94-8745-5269-ce04-6a13da38723f
2026-01-01 05:51:41,KXALBUMRELEASEDATEASAP-26JAN17,yes,91,13,3b4c25e9-87fe-6de7-2024-ff455b9ea8a2
2025-12-31 17:49:43,KXALBUMRELEASEDATEASAP-26JAN17,yes,91,21,ee3b89d4-6611-7eeb-7d25-40fa5670e7da
2025-12-31 17:49:43,KXALBUMRELEASEDATEASAP-26JAN17,yes,92,4,a747af2c-c396-707a-5b06-e638a04ad220
2025-12-31 17:36:33,KXALBUMRELEASEDATEASAP-26JAN17,yes,91,25,39627c80-3f8e-51c4-5504-7252b998d6bb
2025-12-31 17:35:59,KXALBUMRELEASEDATEASAP-26JAN17,yes,87,400,66bfe07f-4d5c-7f0e-5426-50de47a68684
